,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase,domains
110,2020-03-23-003633,"And if you're in a position where you're able to raise somebody else up, take advantage of that and make sure that everyone's voices are heard.",None,[],2020-03-23 07:00:34,1,"[['None', '0.5725'], ['Sharon Horgan', '0.1703'], ['Fearne Cotton', '0.1512'], ['Jorja Smith', '0.106']]",['http://www.stylist.co.uk/people/lizzie-carr-plastic-patrol-inspiration-award-environment-litter-remarkable-women-awards-2020/369611'],E,['co.uk']
111,2020-02-27-004325,And it's also in the context of decades of utter failure on climate change. And now we're staring down a very dark future.,None,[],2020-02-27 15:17:36,1,"[['None', '0.8786'], ['Bernie Sanders', '0.1214']]",['http://www.eenews.net/stories/1062457547'],E,['net']
112,2020-02-19-005144,"And it's one of the first things he told the first responders when the first responders entered the house and were trying to save Gabriel's life. So take from that which will, but it certainly played a role.",Brian Knappenberger,['Q17306155'],2020-02-19 16:17:19,1,"[['Brian Knappenberger', '0.81'], ['None', '0.1698'], ['Gabriel Fernandez', '0.0202']]",['https://people.com/crime/gabriel-fernandez-documentary-netflix/'],E,['com']
113,2020-01-07-004512,And just spread the joy.,None,[],2020-01-07 14:27:26,1,"[['None', '0.7622'], ['Joni Mitchell', '0.1334'], ['Dolly Parton', '0.0545'], ['Cyndi Lauper', '0.0499']]",['https://duboiscountyherald.com/b/dulcimer-group-relaxes-the-strings-of-life'],E,['com']
114,2020-02-15-002575,"And once the movie's done, it can be shown simultaneously with the grand opening of the Magikland theme park.",Albee Benitez,['Q42308114'],2020-02-15 16:04:34,1,"[['Albee Benitez', '0.6002'], ['None', '0.3998']]",['https://www.manilatimes.net/2020/02/16/weekly/the-sunday-times/filipino-champions/magikland-bacolods-wondrous-pride/686159/'],E,['net']
115,2020-02-26-004669,And the history of jazz. I was just hungry.,Barbara Morrison,['Q445368'],2020-02-26 18:27:49,1,"[['Barbara Morrison', '0.7997'], ['None', '0.2003']]",['http://abc7.com/entertainment/legendary-jazz-singer-keeps-the-history-of-jazz-and-blues-alive-in-leimert-park/5969113/'],E,['com']
116,2020-01-27-005130,"And the motivation to learn these very specific skills. And timing is something that we want to work on when I teach my students, is working on that timing, waiting for that perfect time. To strike with that perfect time, to do that spin rounds that really make the eyes opened. Wow, that's amazing,",None,[],2020-01-27 05:30:11,1,"[['None', '0.8847'], ['SHEN YUN', '0.1153']]",['https://www.theepochtimes.com/shen-yun-is-one-of-the-greatest-things-ive-ever-seen-says-kung-fu-teacher_3216986.html'],E,['com']
117,2020-01-21-005435,And the symptoms of what a person goes through when they have a brain tumour is nothing like what we've ever been through with her cancer before.,Taylor Swift,['Q26876'],2020-01-21 15:58:39,8,"[['Taylor Swift', '0.6397'], ['None', '0.2909'], ['Andrea Swift', '0.0618'], ['Justin Bieber', '0.0031'], ['Meghan Markle', '0.0027'], ['Emily Eavis', '0.002']]","['https://www.irishmirror.ie/showbiz/celebrity-news/taylor-swift-heartbroken-mum-diagnosed-21328265', 'https://www.mirror.co.uk/3am/celebrity-news/taylor-swift-heartbroken-mum-diagnosed-21328054', 'https://www.nme.com/news/music/taylor-swift-says-her-mum-has-been-diagnosed-with-brain-tumour-its-been-a-really-hard-time-for-us-2599552', 'http://news.sky.com/story/taylor-swift-reveals-her-mother-has-been-diagnosed-with-a-brain-tumour-11914400', 'http://www.mix96.co.uk/news/showbiz/3029092/taylor-swift-reveals-her-mother-has-been-diagnosed-with-a-brain-tumour/', 'https://www.nme.com/news/music/taylor-swift-only-the-young-new-track-2599818', 'https://www.nme.com/news/music/taylor-swift-only-the-young-new-track-2599818?utm_source=rss&utm_medium=rss&utm_campaign=taylor-swift-only-the-young-new-track', 'http://www.officialcharts.com/chart-news/taylor-swift-to-release-new-song-only-the-young-alongside-netflix-documentary-miss-americana__28386/']",E,"['ie', 'co.uk', 'com', 'com', 'co.uk', 'com', 'com', 'com']"
118,2020-02-14-005838,"And then also zero waste, you'll notice that there's brown napkins that can be composted, and a lot of the food scraps as well can be composted. So, really not much is going to go into the garbage after today. We're here to inform people about that, about how composting can kind of help reduce your footprint. And then also just to share our message of sustainability.",Spencer Johnson,"['Q200760', 'Q21064239', 'Q42289499', 'Q7576096']",2020-02-14 01:51:17,1,"[['Spencer Johnson', '0.5436'], ['None', '0.4564']]",['https://www.oswegonian.com/2020/02/13/penfield-library-hosts-annual-event-for-valentines-day/'],E,['com']
119,2020-03-24-004650,And they are working towards delivering their team to the ultimate negotiations.,Mike Pompeo,['Q473239'],2020-03-24 03:45:00,2,"[['Mike Pompeo', '0.8155'], ['None', '0.1826'], ['Abdullah Abdullah', '0.002']]","['http://www.msn.com/en-us/news/world/pompeo-cuts-dollar1-billion-in-afghan-aid-as-2-leaders-reject-push-for-unity/ar-BB11ySxq?srcref=rss', 'http://gulfnews.com/world/asia/pompeo-cuts-1-billion-in-afghan-aid-as-two-leaders-reject-push-for-unity-1.70587896']",E,"['com', 'com']"
120,2020-02-07-006264,And they certainly seem to be having fun.,Kevin Welsh,"['Q56988007', 'Q6397739', 'Q6397740']",2020-02-07 06:41:36,1,"[['Kevin Welsh', '0.7013'], ['None', '0.2987']]",['http://www.therepublic.com/2020/02/07/central_middle_school_presenting_shrek_this_weekend/'],E,['com']
121,2020-02-24-004187,"And to this day, even when he retires, the goal is to not let Fred down.",None,[],2020-02-24 17:56:15,1,"[['None', '0.6185'], ['Fred Glass', '0.3815']]",['https://www.idsnews.com/article/2020/02/taylor-dodson-lives-out-dream-as-new-iu-water-polo-head-coach'],E,['com']
122,2020-01-23-006255,And we have a desperate need for applicants. In our region alone we need over a thousand people to apply.,Rebecca Robinson,['Q7301890'],2020-01-23 21:22:24,1,"[['Rebecca Robinson', '0.8904'], ['None', '0.1096']]",['https://wsiltv.com/2020/01/23/census-bureau-hiring-hundreds-in-southern-illinois/'],E,['com']
123,2020-01-31-006469,And we're not changing the game. We're using the technology to ultimately bring fans closer to the game.,Gary Bettman,['Q383983'],2020-01-31 13:08:34,1,"[['Gary Bettman', '0.9061'], ['None', '0.0939']]",['http://predators.nhl.com/news/nhl-commissioners-address-outdoor-game-in-nashville-player-tracking/c-314481458'],E,['com']
124,2020-01-24-006039,"And we've seen that services such as podiatry, audiology and speech therapy are clearly medically necessary.",Anthony Wright,"['Q337582', 'Q4773740', 'Q4773741', 'Q55119980']",2020-01-24 10:00:14,4,"[['Anthony Wright', '0.774'], ['None', '0.226']]","['https://californiahealthline.org/news/medi-cal-benefits-eliminated-a-decade-ago-such-as-foot-care-and-eyeglasses-are-back/', 'https://www.pe.com/2020/01/24/foot-care-and-eyeglasses-medi-cal-benefits-eliminated-years-ago-are-back/']",E,"['org', 'com']"
125,2020-03-04-004312,And with all your might,None,[],2020-03-04 09:16:04,2,"[['None', '0.8444'], ['Rabbi Akiva', '0.1556']]",['https://blogs.timesofisrael.com/everything-god-does-is-for-the-best-brachos-61/'],E,['com']
126,2020-01-02-004220,and you will have one in my yard.,None,[],2020-01-02 17:25:06,1,"[['None', '0.8781'], ['Eliot Glassheim', '0.1219']]",['https://www.grandforksherald.com/opinion/letters/4846921-Letter-Eliot-Glassheim-was-a-student-friend-and-public-servant'],E,['com']
127,2020-04-10-003311,"And you would have the governor stay on message on the political end to not upset Washington and our new resident, Donald Trump.",None,[],2020-04-10 18:53:18,1,"[['None', '0.7468'], ['Ron DeSantis', '0.2003'], ['Donald Trump', '0.0529']]",['https://insurancenewsnet.com/oarticle/coronavirus-in-florida-desantis-junks-tested-storm-briefings-playbook-why'],E,['com']
128,2020-01-09-006199,"Andrew Yang's Lies About Supporting Medicare for All Exposed as Journalist Corners Him Live on Air,",Andrew Yang,"['Q11118258', 'Q28723576']",2020-01-09 01:21:54,2,"[['Andrew Yang', '0.7197'], ['None', '0.2804']]","['https://www.nytimes.com/2020/01/08/opinion/medicare-for-all-democrats.html?emc=rss&partner=rss', 'https://www.denverpost.com/2020/01/10/can-we-please-stop-fighting-about-medicare-for-all/']",E,"['com', 'com']"
129,2020-01-10-005809,"androids, surrogates or copies of real humans,",Pranav Mistry,['Q2722796'],2020-01-10 04:00:06,10,"[['Pranav Mistry', '0.6069'], ['None', '0.3931']]","['http://news.cnet.com/how-to/samsungs-neon-explained-just-what-exactly-are-these-artificial-humans/', 'http://news.cnet.com/news/samsungs-neon-explained-just-what-exactly-are-these-artificial-humans/', 'http://www.msn.com/en-us/news/technology/samsungs-neon-explained-just-what-exactly-are-these-artificial-humans/ar-BBYP19M?srcref=rss', 'http://cnet.com/how-to/confused-about-samsung-neon-ai-heres-what-you-need-to-know/', 'http://cnet.com/news/confused-about-samsung-neon-ai-heres-what-you-need-to-know/', 'http://news.cnet.com/how-to/confused-about-samsung-neon-ai-heres-what-you-need-to-know/', 'http://news.cnet.com/news/confused-about-samsung-neon-ai-heres-what-you-need-to-know/', 'http://cnet.com/news/neons-artificial-humans-are-scary-realistic-confusing-and-completely-enthralling-heres-everything-we-know/', 'http://news.cnet.com/news/neons-artificial-humans-are-scary-realistic-confusing-and-completely-enthralling-heres-everything-we-know/', 'https://www.cnet.com/how-to/samsung-neon-artificial-humans-are-confusing-everyone-we-set-record-straight/#ftag=CADf328eec']",E,"['com', 'com', 'com', 'com', 'com', 'com', 'com', 'com', 'com', 'com']"
130,2020-03-29-001856,"Animal caretaker Ambre Cook talks about the red pandas in their habitat in a live social media feed at the Oklahoma City Zoo and Botanical Garden in Oklahoma City, Okla., Thursday, March 26, 2020. [ Sarah Phipps/The Oklahoman ]",None,[],2020-03-29 14:05:00,2,"[['None', '0.6996'], ['Sarah Silverman', '0.3004']]","['http://newsok.com/article/5658897/interviews-and-video-oklahoma-museums-and-attractions-rely-on-social-media-during-coronavirus-closures', 'http://newsok.com/interviews-and-video-oklahoma-museums-and-attractions-rely-on-social-media-during-coronavirus-closures/article/5658897?custom_click=rss']",E,"['com', 'com']"
131,2020-02-16-002879,Anne Marie's beautiful service was a wonderful opportunity to celebrate our blessed life together here on St. John.,None,[],2020-02-16 22:14:59,1,"[['None', '0.7604'], ['David Silverman', '0.2396']]",['https://stcroixsource.com/2020/02/16/couples-renew-their-vows-vows-on-valentines-night-at-trunk-bay/'],E,['com']
132,2020-03-24-004968,Anti-ageism Activists Bristle at Julián Castro's Question to Joe Biden: `Are You Forgetting What You Said 2 Minutes Ago?,None,[],2020-03-24 20:03:43,1,"[['None', '0.8224'], ['Margaret Morganroth Gullette', '0.1776']]",['https://www.radcliffe.harvard.edu/news/radcliffe-magazine/newsmakers-winter-2020'],E,['edu']
133,2020-03-30-003813,anticipate the release of fewer than 200 individuals,Naomi Long,['Q695272'],2020-03-30 02:43:46,3,"[['Naomi Long', '0.695'], ['None', '0.305']]","['http://abs-cbnnews.com/overseas/03/30/20/northern-ireland-to-release-around-200-prisoners-to-stem-covid-19-spread', 'https://news.abs-cbn.com/overseas/03/30/20/northern-ireland-to-release-around-200-prisoners-to-stem-covid-19-spread', 'https://www.belfastlive.co.uk/news/belfast-news/coronavirus-northern-ireland-prisoners-temporarily-18006590']",E,"['com', 'com', 'co.uk']"
134,2020-01-08-006055,"Any organization committed to operating responsibly in this new decade has a moral imperative to stop participating in financing the destruction of human civilization's future,",Al Gore,['Q19673'],2020-01-08 10:20:00,2,"[['Al Gore', '0.4342'], ['Desmond Tutu', '0.3992'], ['None', '0.1667']]","['http://www.oilandgasinvestor.com/news/new-york-london-mayors-urge-cities-divest-fossil-fuels-185125', 'https://www.thejakartapost.com/life/2020/01/08/south-africas-desmond-tutu-and-al-gore-urge-end-to-fossil-fuels.html']",E,"['com', 'com']"
135,2020-02-19-006104,"Any suggestion Ms Lizzul would deliberately hurt Erin in any way is wholly unsustainable,",None,[],2020-02-19 06:30:00,1,"[['None', '0.7384'], ['Andrew Moore', '0.1984'], ['Meryl Sexton', '0.0632']]",['http://www.thecourier.com.au/story/6639100/carer-endangers-life-of-disabled-child-by-administering-morphine/?cs=12'],E,['com.au']
136,2020-01-28-006585,"Anyone with direct knowledge of what happened should testify, and the Trump administration must stop blocking evidence from coming forward. Ernst and Grassley should stop helping Trump cover up his criminal activity. Iowans and history will remember how they vote and act in this trial.",John Bolton,"['Q24676423', 'Q3079582', 'Q311269', 'Q53578866', 'Q6222404', 'Q6222406']",2020-01-28 11:00:12,1,"[['John Bolton', '0.4195'], ['None', '0.3545'], ['President Trump', '0.2129'], ['Joni Ernst', '0.0078'], ['Chuck Grassley', '0.0054']]",['https://blogforiowa.com/2020/01/28/today-at-noon-iowans-will-demand-ernst-and-grassley-vote-for-a-fair-trial-rightmatters/'],E,['com']
137,2020-01-02-004552,"Apparently, they're writing a list for people who want to evacuate, they're only taking 1000 people, but I heard that through word of mouth, everything has been word of mouth,",George Mills,['Q26985954'],2020-01-02 00:41:02,2,"[['George Mills', '0.9328'], ['None', '0.0672']]","['http://www.smh.com.au/national/victoria/absolutely-isolated-communities-left-without-essentials-after-fires-20200102-p53o8q.html', 'https://www.theage.com.au/national/victoria/absolutely-isolated-communities-left-without-essentials-after-fires-20200102-p53o8q.html?ref=rss&utm_medium=rss&utm_source=rss_feed']",E,"['com.au', 'com.au']"
138,2020-02-13-007205,"Apple prices generally peak in January. Between December 2019 and January 2020, apple prices rose 22 percent to a weighted average price of $4.62 per kilogram,",Sarah Johnson,"['Q43394564', 'Q56515295', 'Q58469464', 'Q7422460']",2020-02-13 10:01:48,3,"[['Sarah Johnson', '0.921'], ['None', '0.079']]","['http://business.scoop.co.nz/2020/02/14/meaty-increases-push-up-annual-food-prices/', 'https://www.miragenews.com/meaty-increases-push-up-annual-food-prices/', 'http://www.voxy.co.nz/business/5/358242']",E,"['co.nz', 'com', 'co.nz']"
139,2020-01-28-006720,"Apply for the privilege of having this entrepreneurial, enterprising and creative woman work for you!",Cindy Gallop,['Q5120529'],2020-01-28 13:00:00,22,"[['Cindy Gallop', '0.921'], ['None', '0.079']]","['https://www.byronnews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.coffscoastadvocate.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.dailyexaminer.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.northernstar.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.tweeddailynews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.dailymercury.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.gympietimes.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.news-mail.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.qt.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.sunshinecoastdaily.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.thechronicle.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.warwickdailynews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'https://www.whitsundaytimes.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.balonnebeacon.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.chinchillanews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.ipswichadvertiser.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.echonews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.cqnews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.noosanews.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.coolum-news.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.gattonstar.com.au/news/womans-genius-job-hack-revealed/3931562/', 'http://www.centraltelegraph.com.au/news/womans-genius-job-hack-revealed/3931562/']",E,"['com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au', 'com.au']"
140,2020-02-03-006147,approximately a million of Syrians,Recep Tayyip Erdogan,['Q39259'],2020-02-03 20:45:59,1,"[['Recep Tayyip Erdogan', '0.8822'], ['None', '0.1178']]",['https://tass.com/world/1116005'],E,['com']
141,2020-04-14-004444,are doing exactly what we hoped for.,Steve Bullock,"['Q24015', 'Q7612088', 'Q7612089']",2020-04-14 15:55:00,1,"[['Steve Bullock', '0.8853'], ['None', '0.1147']]",['http://www.dailyinterlake.com/news/2020/apr/14/governor-outlines-emergency-rental-6/'],E,['com']
142,2020-02-05-007087,are going to save their utes,None,[],2020-02-05 13:00:00,1,"[['None', '0.6796'], ['Keith Woodward', '0.2426'], ['Boris Johnson', '0.0778']]",['http://www.smh.com.au/national/nsw/nationals-can-t-see-the-wood-for-the-burnt-trees-20200204-p53xp2.html'],E,['com.au']
143,2020-02-11-007131,are not willing to put their hand in their own deep pockets,Sajid Javid,['Q727798'],2020-02-11 10:38:53,1,"[['Sajid Javid', '0.779'], ['None', '0.221']]",['https://buyingbusinesstravel.com/news/government-considering-flybe-stake/'],E,['com']
