,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase,domains
100,2020-01-09-005030,And [ festivalgoers ] are also drawn to coming in to Whanganui as well so I think it's great.,Jonathan Sykes,['Q6274563'],2020-01-09 08:27:28,3,"[['Jonathan Sykes', '0.5899'], ['Ben Jones', '0.2058'], ['None', '0.2043']]","['http://home.nzcity.co.nz/nl.aspx?4422414', 'http://m.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12299066', 'http://nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12299066']",E,"['co.nz', 'co.nz', 'co.nz']"
101,2020-02-07-005251,"And for the record, Eamonn Holmes made me laugh, he lightened a very emotional moment and I'm very happy that he did.",Phillip Schofield,['Q7185804'],2020-02-07 20:30:49,2,"[['Phillip Schofield', '0.8657'], ['Eamonn Holmes', '0.0705'], ['None', '0.054'], ['Holly Willoughby', '0.0079'], ['Ruth Langsford', '0.002']]","['https://www.dailystar.co.uk/showbiz/breaking-phillip-scofield-defends-ruth-21453590', 'https://www.dailystar.co.uk/showbiz/phillip-schofield-wanted-know-how-21455187']",E,"['co.uk', 'co.uk']"
102,2020-02-08-002386,"And he stood there patiently and said, `I'm here to help you. I want to help you.' And I would roll up my window and look the other way.",None,[],2020-02-08 00:00:00,57,"[['None', '0.7498'], ['Karen Brown', '0.2502']]","['http://delmarvapublicradio.net/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://iowapublicradio.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://kazu.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://ketr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://klcc.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://mpbn.net/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://news.wjct.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://peconicpublicbroadcasting.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://peoriapublicradio.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wcqs.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wdiy.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wemu.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wmra.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wnmufm.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wuwf.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://www.kbia.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://www.kios.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://www.ksmu.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://www.kuer.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://www.wcbe.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'http://wxxinews.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.apr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.ijpr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.kenw.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.keranews.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.kgou.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.krcu.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.krwg.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.ktep.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.kunm.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.northernpublicradio.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.tpr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.ualrpublicradio.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.upr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wbaa.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wbgo.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wboi.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wesm913.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wfae.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wkar.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wknofm.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wlrn.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wmot.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wncw.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wrvo.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wshu.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wunc.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wuwm.com/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wvtf.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wvxu.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wwno.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wxpr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wyomingpublicmedia.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wypr.org/post/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-problem', 'https://www.wuft.org/nation-world/2020/02/08/police-offering-drug-recovery-help-we-cant-arrest-our-way-out-of-this-problem/', 'https://www.northcountrypublicradio.org/news/npr/802318886/police-offering-drug-recovery-help-we-can-t-arrest-our-way-out-of-this-problem', 'https://www.mprnews.org/story/2020/02/08/npr-police-offering-drug-recovery-help-we-can-t-arrest-our-way-out-of-this-problem']",E,"['net', 'org', 'org', 'org', 'org', 'net', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'com', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org', 'org']"
103,2020-04-13-002728,"and he was trying to tie the record of Harry Vardon: six British Opens. He was under a lot of pressure also. We were not close, but champions in the same category never are close. You never see both go outside for dinner. Never. That's not because it is personal. The competition carries on, not just on the golf course, but off the golf course also. It was that way for me and Watson.",Ivan Ballesteros,['Q58166424'],2020-04-13 12:24:06,1,"[['Ivan Ballesteros', '0.9141'], ['None', '0.0824'], ['Ian Baker-Finch', '0.0018'], ['Tom Watson', '0.0017']]",['http://golfdigest.com/story/seve-ballesteros'],E,['com']
104,2020-01-11-002445,"And help he always did. For someone who preferred to be behind the scenes, he was at the center of absolutely everything.",Anna Wintour,['Q230744'],2020-01-11 01:46:07,3,"[['Anna Wintour', '0.9198'], ['None', '0.0802']]","['https://www.irishmirror.ie/showbiz/celebrity-news/victoria-beckham-shares-heartbreak-death-21257757', 'https://www.mirror.co.uk/3am/celebrity-news/victoria-beckham-shares-heartbreak-death-21257731', 'https://www.celebsnow.co.uk/latest-celebrity-news/victoria-beckham-heartbreaking-message-death-friend-804378']",E,"['ie', 'co.uk', 'co.uk']"
105,2020-01-09-005110,"And his own drama is that he's stuck in this country life surrounded by people he doesn't want to relate to. He's too young to be thinking life is worthless, but he does. And he's got a lot of life to think about it.",John Moore,"['Q10500229', 'Q1537696', 'Q16089768', 'Q16106364', 'Q1642396', 'Q1701128', 'Q17404051', 'Q18672019', 'Q18732066', 'Q18732074', 'Q19843751', 'Q20707214', 'Q21104248', 'Q21166071', 'Q21462641', 'Q23073618', 'Q24201873', 'Q29051926', 'Q3182115', 'Q43134382', 'Q47482550', 'Q527195', 'Q6249252', 'Q6249254', 'Q6249267', 'Q6249279', 'Q6249281', 'Q6249283', 'Q6249285', 'Q6249287', 'Q653290', 'Q860608', 'Q969109']",2020-01-09 06:00:48,1,"[['John Moore', '0.7892'], ['None', '0.2108']]",['https://www.seattletimes.com/entertainment/movies/seattle-opera-takes-on-the-timeless-drama-of-eugene-onegin/?utm_source=RSS&utm_medium=Referral&utm_campaign=RSS_all'],E,['com']
106,2020-01-23-005283,"And I am reckoning / Oh, here I am, settling, freaking out,",None,[],2020-01-23 15:54:18,2,"[['None', '0.7074'], ['Maggie Rogers', '0.2926']]","['http://www.vulture.com/2020/01/grammys-2020-maggie-rogers-best-new-artist.html', 'https://hypervocal.com/items/3193833']",E,"['com', 'com']"
107,2020-03-03-003454,"And I knew that wasn't the majority's opinion, so I had to rise above that,",Rachel Lindsay,"['Q3161936', 'Q39069563']",2020-03-03 00:45:48,1,"[['Rachel Lindsay', '0.8247'], ['None', '0.1156'], ['Peter Weber', '0.0597']]",['https://heavy.com/entertainment/2020/03/rachel-lindsay-the-bachelor-racism-racist-tweets/'],E,['com']
108,2020-04-01-003606,"And I think having optimism, generosity in our hearts as we work with people and interact with them is really important,",Marc Harrison,['Q27349329'],2020-04-01 20:30:15,1,"[['Marc Harrison', '0.5873'], ['None', '0.4001'], ['St. George', '0.0126']]",['http://ksl.com/article/46737138/intermountain-healthcare-president-addresses-reports-of-possible-pay-cuts'],E,['com']
109,2020-01-23-005418,"And I think we've come to a time where we are prepared if women are not supported, then women are not going to continue to blindly support men who will not step up and take some leadership on this issue,",Sheila Oliver,['Q7493177'],2020-01-23 21:15:14,1,"[['Sheila Oliver', '0.9228'], ['None', '0.0772']]",['https://wobm.com/how-toxic-is-nj-political-climate-for-women-survey-aims-to-know/'],E,['com']
